model_id,model_kind,metric,Domain (i),calib_subset,target_id,Specialist id,F_i,Specialist score,Merged/model score,n_layers,n_prompts,layer_mean_distance,layer_median_distance,layer_std_distance,layer_min_distance,layer_max_distance,min_layer,max_layer
aim_on_dare__calib_uncensored_refusal_like,candidate,mmd_rbf,B_reasoning_math,reasoning,reasoning_only,reasoning_only,0.06628759160980535,0.8208112206216831,0.7545236290118778,36,128,0.010775273795136146,0.01054949639365077,0.004646559419801819,0.004448845982551575,0.03273463994264603,0,35
aim_on_dare__calib_uncensored_refusal_like,candidate,mmd_rbf,B_uncensored,uncensored_refusal_like,uncensored_only,uncensored_only,-0.22141865079365078,0.24281690402017506,0.46423555481382583,36,128,0.05672217088027133,0.04537711478769779,0.04805576910202167,0.01334008015692234,0.2240922451019287,0,1
aim_on_dare__calib_uncensored_refusal_like,candidate,projected_js,B_if,instruction,instr_only,instr_only,0.2975970425138632,0.8170055452865065,0.5194085027726433,36,128,0.058832742598396076,0.060379169721272774,0.009283914014329297,0.035081020861980505,0.09301125857746229,0,35
aim_on_dare__calib_uncensored_refusal_like,candidate,projected_js,B_reasoning_long,reasoning,instr_only,instr_only,0.0757575757575758,0.5858585858585859,0.51010101010101,36,128,0.05059542832976957,0.052587795216823,0.006511074129388892,0.03326516423840076,0.07008157361997291,0,35
aim_on_dare__calib_uncensored_refusal_like,candidate,projected_js,B_reasoning_math,reasoning,reasoning_only,reasoning_only,0.06628759160980535,0.8208112206216831,0.7545236290118778,36,128,0.06424734583561076,0.06431114670704119,0.004679879151843379,0.04936763676232658,0.08171590056736022,0,35
aim_on_dare__calib_uncensored_refusal_like,candidate,projected_js,B_uncensored,uncensored_refusal_like,uncensored_only,uncensored_only,-0.22141865079365078,0.24281690402017506,0.46423555481382583,36,128,0.10250281796470517,0.0916904541227268,0.03915158570849439,0.06308128556702286,0.24772862237296067,0,1
aim_on_della,candidate,mmd_rbf,B_if,instruction,instr_only,instr_only,0.31238447319778195,0.8170055452865065,0.5046210720887245,36,128,0.0057876225231060134,0.0055317082442343235,0.0050553453590177775,0.0018349975580349565,0.034507300704717636,0,35
aim_on_della,candidate,mmd_rbf,B_reasoning_long,reasoning,instr_only,instr_only,0.07070707070707072,0.5858585858585859,0.5151515151515151,36,128,0.0030870000288511315,0.002677725860849023,0.0034467944653603718,0.0010605037678033113,0.023097841069102287,0,35
aim_on_della,candidate,mmd_rbf,B_reasoning_math,reasoning,reasoning_only,reasoning_only,0.04696739954510998,0.8208112206216831,0.7738438210765731,36,128,0.010815882292162213,0.010587445925921202,0.004536601507718544,0.004480504896491766,0.031905580312013626,0,35
aim_on_della,candidate,mmd_rbf,B_uncensored,uncensored_refusal_like,uncensored_only,uncensored_only,-0.21448987538940809,0.24281690402017506,0.45730677940958314,36,128,0.056370737238062754,0.04487608000636101,0.048235327589220646,0.013128602877259254,0.2247840017080307,0,1
aim_on_della,candidate,projected_js,B_if,instruction,instr_only,instr_only,0.31238447319778195,0.8170055452865065,0.5046210720887245,36,128,0.05878443692240075,0.06094018883595709,0.009401768411007783,0.03577157450490631,0.09208514814963564,0,35
aim_on_della,candidate,projected_js,B_reasoning_long,reasoning,instr_only,instr_only,0.07070707070707072,0.5858585858585859,0.5151515151515151,36,128,0.05040246573561388,0.0518223940016469,0.0072489474834424444,0.0316487359959865,0.07429534327820875,0,35
aim_on_della,candidate,projected_js,B_reasoning_math,reasoning,reasoning_only,reasoning_only,0.04696739954510998,0.8208112206216831,0.7738438210765731,36,128,0.06417956402421826,0.0646031870128354,0.004711021196000032,0.048578475456452,0.08088783430866897,0,35
aim_on_della,candidate,projected_js,B_uncensored,uncensored_refusal_like,uncensored_only,uncensored_only,-0.21448987538940809,0.24281690402017506,0.45730677940958314,36,128,0.1023497346658486,0.09071507584303617,0.03959500622496067,0.06382555978780147,0.24996984412427992,0,1
aim_on_della__calib_general,candidate,mmd_rbf,B_if,instruction,instr_only,instr_only,0.31608133086876156,0.8170055452865065,0.5009242144177449,36,128,0.005774630712241762,0.005602569319307804,0.005029729237501276,0.0018353939522057772,0.03435380384325981,0,35
aim_on_della__calib_general,candidate,mmd_rbf,B_reasoning_long,reasoning,instr_only,instr_only,0.05555555555555558,0.5858585858585859,0.5303030303030303,36,128,0.0030844159353162265,0.0026815527817234397,0.003444468749258696,0.0010617912048473954,0.023084474727511406,0,35
aim_on_della__calib_general,candidate,mmd_rbf,B_reasoning_math,reasoning,reasoning_only,reasoning_only,0.01552944149608293,0.8208112206216831,0.8052817791256002,36,128,0.010811259737238288,0.010580910835415125,0.004538505425423192,0.0044790953397750854,0.031908296048641205,0,35
aim_on_della__calib_general,candidate,mmd_rbf,B_uncensored,uncensored_refusal_like,uncensored_only,uncensored_only,-0.217678385996143,0.24281690402017506,0.46049529001631806,36,128,0.056199409145240985,0.044647205621004105,0.04816067401872309,0.013138211332261562,0.22444100677967072,0,1
aim_on_della__calib_general,candidate,projected_js,B_if,instruction,instr_only,instr_only,0.31608133086876156,0.8170055452865065,0.5009242144177449,36,128,0.05878813255104534,0.06154664333735127,0.009155260049309036,0.035499029254424386,0.09127380250720307,0,35
aim_on_della__calib_general,candidate,projected_js,B_reasoning_long,reasoning,instr_only,instr_only,0.05555555555555558,0.5858585858585859,0.5303030303030303,36,128,0.05060476287649686,0.05233284836867824,0.007095654900254508,0.031724396540084854,0.07278982357820496,0,35
aim_on_della__calib_general,candidate,projected_js,B_reasoning_math,reasoning,reasoning_only,reasoning_only,0.01552944149608293,0.8208112206216831,0.8052817791256002,36,128,0.06427008109474425,0.06441796891158447,0.004637817963065178,0.04897148851887323,0.08034866739762947,0,35
aim_on_della__calib_general,candidate,projected_js,B_uncensored,uncensored_refusal_like,uncensored_only,uncensored_only,-0.217678385996143,0.24281690402017506,0.46049529001631806,36,128,0.10223980966232678,0.08989765387377702,0.039427909937675885,0.06333908664237242,0.24974609282799065,0,1
aim_on_della__calib_instruction,candidate,mmd_rbf,B_if,instruction,instr_only,instr_only,0.30868761552680224,0.8170055452865065,0.5083179297597042,36,128,0.005813360236869711,0.0053987877909094095,0.00515563866041828,0.0018147797090932727,0.03512880951166153,0,35
aim_on_della__calib_instruction,candidate,mmd_rbf,B_reasoning_long,reasoning,instr_only,instr_only,0.08080808080808077,0.5858585858585859,0.5050505050505051,36,128,0.0030812930716719064,0.0026895186165347695,0.0034671943028870777,0.0010534286266192794,0.02322262153029442,0,35
aim_on_della__calib_instruction,candidate,mmd_rbf,B_reasoning_math,reasoning,reasoning_only,reasoning_only,0.03295425827647214,0.8208112206216831,0.787856962345211,36,128,0.010829507114572657,0.010619041975587606,0.004509991334885355,0.00452061602845788,0.03175736963748932,0,35
aim_on_della__calib_instruction,candidate,mmd_rbf,B_uncensored,uncensored_refusal_like,uncensored_only,uncensored_only,-0.2093636886218662,0.24281690402017506,0.45218059264204125,36,128,0.056476543916182384,0.04502054862678051,0.048287328699582806,0.013104379177093506,0.22485987842082977,0,1
