model_id,model_kind,metric,calib_subset,target_id,n_layers,n_prompts,layer_mean_distance,layer_median_distance,layer_std_distance,layer_min_distance,layer_max_distance,min_layer,max_layer
aim_on_breadcrumbs__calib_general,candidate,mmd_rbf,uncensored_refusal_like,reasoning_only,36,128,0.041126597569220595,0.042276183143258095,0.008754672109151733,0.020087499171495438,0.054707057774066925,0,31
aim_on_breadcrumbs__calib_general,candidate,mmd_rbf,uncensored_refusal_like,uncensored_only,36,128,0.06229944242578414,0.04990926943719387,0.05212265627191336,0.015632862225174904,0.24096325039863586,0,1
aim_on_breadcrumbs__calib_general,candidate,projected_js,general,base,36,128,0.059538363299199974,0.058550160480081104,0.006385984506565105,0.0455511311738519,0.09095149772474542,0,35
aim_on_breadcrumbs__calib_general,candidate,projected_js,general,instr_only,36,128,0.05252799192910768,0.05428596070851199,0.010366298922718802,0.032887507797568105,0.09711396929924376,0,35
aim_on_breadcrumbs__calib_general,candidate,projected_js,general,reasoning_only,36,128,0.06497944191101447,0.06465572632441763,0.003741726487228253,0.06005785192246549,0.07709276268724352,0,5
aim_on_breadcrumbs__calib_general,candidate,projected_js,general,uncensored_only,36,128,0.07590891910149367,0.06721257674507797,0.026035300413687484,0.04432777235342655,0.17866169463377446,0,1
aim_on_breadcrumbs__calib_general,candidate,projected_js,instruction,base,36,128,0.06763046924606897,0.06797313038259745,0.007848718927183156,0.04729280626634136,0.09881978417979553,0,35
aim_on_breadcrumbs__calib_general,candidate,projected_js,instruction,instr_only,36,128,0.05718403234863621,0.05811399922822602,0.011780396984669374,0.0347984018153511,0.10695237049367279,0,35
aim_on_breadcrumbs__calib_general,candidate,projected_js,instruction,reasoning_only,36,128,0.0733398826285136,0.07501697860425338,0.004937644379168299,0.05702963870135136,0.0790353380725719,1,22
aim_on_breadcrumbs__calib_general,candidate,projected_js,instruction,uncensored_only,36,128,0.0812159447571806,0.07391293227556162,0.021456821166670866,0.04953657905571163,0.1606350785586983,0,1
aim_on_breadcrumbs__calib_general,candidate,projected_js,reasoning,base,36,128,0.058509496754494544,0.058947300727595575,0.005121743949312023,0.04374865029240027,0.0762958629638888,0,35
aim_on_breadcrumbs__calib_general,candidate,projected_js,reasoning,instr_only,36,128,0.04976393451943295,0.050517600029706955,0.008659387185520675,0.03335529315518215,0.0868090929579921,0,35
aim_on_breadcrumbs__calib_general,candidate,projected_js,reasoning,reasoning_only,36,128,0.06279371653120809,0.06362313983845524,0.004200512742201492,0.04723009461304173,0.07110986619954929,0,35
aim_on_breadcrumbs__calib_general,candidate,projected_js,reasoning,uncensored_only,36,128,0.0693777124688495,0.06458436785032973,0.01543483980429081,0.03844788667629473,0.1213312356849201,0,1
aim_on_breadcrumbs__calib_general,candidate,projected_js,uncensored_refusal_like,base,36,128,0.09035554233721793,0.09035860563744791,0.016642872621107408,0.057341665582498536,0.16610553802456707,0,35
aim_on_breadcrumbs__calib_general,candidate,projected_js,uncensored_refusal_like,instr_only,36,128,0.06729705923135043,0.0632223244610941,0.017399423145582182,0.04666367301251739,0.15899405447999015,1,35
aim_on_breadcrumbs__calib_general,candidate,projected_js,uncensored_refusal_like,reasoning_only,36,128,0.09476743719278602,0.09096400471753441,0.009678065592840525,0.07620148285059258,0.12226527644088492,1,5
aim_on_breadcrumbs__calib_general,candidate,projected_js,uncensored_refusal_like,uncensored_only,36,128,0.10650132102212713,0.09570034599164501,0.04137325327183261,0.06786377722164616,0.2597652625699993,0,1
aim_on_breadcrumbs__calib_instruction,candidate,mmd_rbf,general,base,36,128,0.008411127323698666,0.006686860229820013,0.006709882817079328,0.0051874215714633465,0.04681887850165367,31,35
aim_on_breadcrumbs__calib_instruction,candidate,mmd_rbf,general,instr_only,36,128,0.005791692949262344,0.004517497029155493,0.008244362254524388,0.002800053684040904,0.05422727391123772,11,35
aim_on_breadcrumbs__calib_instruction,candidate,mmd_rbf,general,reasoning_only,36,128,0.013209516958643993,0.011740559246391058,0.0043332764407571405,0.008745168335735798,0.0242153350263834,34,4
aim_on_breadcrumbs__calib_instruction,candidate,mmd_rbf,general,uncensored_only,36,128,0.028671896214493446,0.013708116952329874,0.037684174925390564,0.008844489231705666,0.1701471358537674,0,1
aim_on_breadcrumbs__calib_instruction,candidate,mmd_rbf,instruction,base,36,128,0.011866286422850357,0.01080353930592537,0.005342068544766794,0.0039025843143463135,0.040354758501052856,0,35
aim_on_breadcrumbs__calib_instruction,candidate,mmd_rbf,instruction,instr_only,36,128,0.005600859514541096,0.004175487207248807,0.0077235069816667294,0.0020220011938363314,0.05061529204249382,0,35
aim_on_breadcrumbs__calib_instruction,candidate,mmd_rbf,instruction,reasoning_only,36,128,0.01665829749415732,0.016766619868576527,0.002849105949619283,0.0065389215014874935,0.021786851808428764,0,5
aim_on_breadcrumbs__calib_instruction,candidate,mmd_rbf,instruction,uncensored_only,36,128,0.027684400000402495,0.016592408530414104,0.029769769503473344,0.006020733620971441,0.13566552102565765,0,1
aim_on_breadcrumbs__calib_instruction,candidate,mmd_rbf,reasoning,base,36,128,0.006482510193664994,0.005968872224912047,0.0037507698659986627,0.002503833267837763,0.027964342385530472,0,35
aim_on_breadcrumbs__calib_instruction,candidate,mmd_rbf,reasoning,instr_only,36,128,0.0032641626474085366,0.0022913163993507624,0.006058162235305575,0.0011985570890828967,0.03894331306219101,0,35
aim_on_breadcrumbs__calib_instruction,candidate,mmd_rbf,reasoning,reasoning_only,36,128,0.010084755705773003,0.010110847651958466,0.002901718279436831,0.0039355456829071045,0.02044069953262806,0,35
aim_on_breadcrumbs__calib_instruction,candidate,mmd_rbf,reasoning,uncensored_only,36,128,0.018048520271097206,0.010715106502175331,0.01945638263084132,0.0033215403091162443,0.08519239723682404,0,1
aim_on_breadcrumbs__calib_instruction,candidate,mmd_rbf,uncensored_refusal_like,base,36,128,0.04070830158889294,0.040858473628759384,0.017435155220950304,0.01081435102969408,0.11834918707609177,0,35
aim_on_breadcrumbs__calib_instruction,candidate,mmd_rbf,uncensored_refusal_like,instr_only,36,128,0.014297608079181777,0.010001877322793007,0.018071425829392012,0.006017571780830622,0.11759449541568756,0,35
aim_on_breadcrumbs__calib_instruction,candidate,mmd_rbf,uncensored_refusal_like,reasoning_only,36,128,0.04125868399730987,0.04242394492030144,0.008777690471575566,0.02027113549411297,0.05494970828294754,0,31
aim_on_breadcrumbs__calib_instruction,candidate,mmd_rbf,uncensored_refusal_like,uncensored_only,36,128,0.06250419842803644,0.050191864371299744,0.052177514217183044,0.015603906475007534,0.24100437760353088,0,1
aim_on_breadcrumbs__calib_instruction,candidate,projected_js,general,base,36,128,0.059402676772960045,0.05876604038348887,0.006302697178784541,0.04629813716746867,0.09151126357028261,0,35
aim_on_breadcrumbs__calib_instruction,candidate,projected_js,general,instr_only,36,128,0.05219227323363561,0.05355147135560401,0.010349957337488669,0.03110318053222727,0.0961462208069861,0,35
aim_on_breadcrumbs__calib_instruction,candidate,projected_js,general,reasoning_only,36,128,0.06484539000585857,0.06408815633039922,0.003832972891016206,0.05995343014365062,0.07662953954422846,1,5
aim_on_breadcrumbs__calib_instruction,candidate,projected_js,general,uncensored_only,36,128,0.07622145202023806,0.06699438909708988,0.02587166114756017,0.04495167438290082,0.17793198896106333,0,1
aim_on_breadcrumbs__calib_instruction,candidate,projected_js,instruction,base,36,128,0.06713365538922113,0.06771579218911938,0.007993925007843546,0.04644384002313018,0.09868755849311128,0,35
aim_on_breadcrumbs__calib_instruction,candidate,projected_js,instruction,instr_only,36,128,0.05745094447653779,0.05856209796911571,0.012178898686805443,0.03461874002823606,0.110026597045362,0,35
aim_on_breadcrumbs__calib_instruction,candidate,projected_js,instruction,reasoning_only,36,128,0.07320759809065042,0.07491327240131795,0.005027938028494059,0.05673223070334643,0.07915634923847392,1,22
aim_on_breadcrumbs__calib_instruction,candidate,projected_js,instruction,uncensored_only,36,128,0.08112282867336439,0.0738990428217221,0.0213449679440354,0.049705299868946895,0.1594306111219339,0,1
aim_on_breadcrumbs__calib_instruction,candidate,projected_js,reasoning,base,36,128,0.05836729404189908,0.058376214845338836,0.005365198176505222,0.0441578620520886,0.07723185751819983,0,35
aim_on_breadcrumbs__calib_instruction,candidate,projected_js,reasoning,instr_only,36,128,0.049715529872628395,0.05045529210474342,0.008740334555168315,0.03330392489442602,0.08772273769136518,0,35
aim_on_breadcrumbs__calib_instruction,candidate,projected_js,reasoning,reasoning_only,36,128,0.06291017453703615,0.06317112526448909,0.004353731027687249,0.046353351790457964,0.07211497123353183,0,35
aim_on_breadcrumbs__calib_instruction,candidate,projected_js,reasoning,uncensored_only,36,128,0.06941818588933933,0.06417630276700947,0.015446485458362415,0.039054228662280366,0.12094509703456424,0,1
aim_on_breadcrumbs__calib_instruction,candidate,projected_js,uncensored_refusal_like,base,36,128,0.08990998970936441,0.08887182929902337,0.01665499654148122,0.057407557615078986,0.1658932720310986,0,35
